# JaIM Emoji Dictionary
# Format: reading<TAB>emoji1 emoji2 ...
# Loaded at startup with low frequency (candidates appear after regular words)
#
# Faces & Emotions
おでん	🍢
だんご	🍡
たいやき	🐟
たまご	🥚 🍳
ぴざ	🍕
はんばーがー	🍔
# Objects & Things
でんわ	📱 ☎️ 📞
すまほ	📱
ぱそこん	💻 🖥️
めーる	📧 ✉️ 📩
かめら	📷 📸 🎥
とけい	⏰ 🕐 ⌚
かぎ	🔑 🗝️
でんき	💡 🔌 ⚡
ほん	📖 📚 📕
えんぴつ	✏️ 📝
ぺん	🖊️ 🖋️
はさみ	✂️
かね	💰 💵 💴 💶 💷 🪙
くるま	🚗 🚙 🏎️
でんしゃ	🚃 🚆 🚅
ひこうき	✈️ 🛩️
ふね	🚢 ⛵ 🛳️
じてんしゃ	🚲 🚴
いえ	🏠 🏡
びる	🏢 🏬
がっこう	🏫
びょういん	🏥
おんがく	🎵 🎶 🎼 🎸 🎹
# Events & Celebrations
たんじょうび	🎂 🎉 🎈
おめでとう	🎉 🎊 🥳 ✨
ぷれぜんと	🎁 🎀
ぱーてぃー	🎉 🎊 🥳
くらっかー	🎉 🎊
くりすます	🎄 🎅 🤶 🎁
おしょうがつ	🎍 🌅 🎌
はなび	🎆 🎇
おまつり	🏮 🎐 🎑
うんどうかい	🏃 🏅 🎽
# Weather & Nature Symbols
はれ	☀️ 🌤️
くもり	☁️ ⛅
# Symbols & Marks
まる	⭕ ○ ◎ ●
ばつ	❌ ✕ ✗
さんかく	⚠️ △ ▲
ちぇっく	✅ ☑️ ✔️
はてな	❓ ❔ ⁉️
びっくりまーく	❗ ‼️ ❕
おんぷ	🎵 🎶 ♪ ♫
わーにんぐ	⚠️ 🚨
きんし	🚫 ⛔ 🈲
むげん	♾️
# Flags (common)
にほん	🇯🇵
あめりか	🇺🇸
ちゅうごく	🇨🇳
かんこく	🇰🇷
いぎりす	🇬🇧
ふらんす	🇫🇷
どいつ	🇩🇪
# Numbers & Letters
いち	1️⃣
に	2️⃣
さん	3️⃣
よん	4️⃣
ご	5️⃣
ろく	6️⃣
なな	7️⃣
はち	8️⃣
きゅう	9️⃣
ぜろ	0️⃣
